Company Name,State,JAN - DEC 2014,JAN - DEC 2013,DEC 2014,DEC 2013,JAN - DEC 2013,Email
,OK,,,,,,
ABILITY FIRST INC,OK,$316,$131,$316,$0,$131,sandy@powershopinc.org
"AD SPECIALTIES & MORE, LTD",OK,"$1,333",$892,$0,$196,$892,sales@ad-specialties.com
ADA TROPHY CASE,OK,$235,$0,$0,$0,$0,magicts.adatrophy@yahoo.com
ADMIRAL EXPRESS OFFICE SUPPLY,OK,"$6,036","$6,376",$0,$0,"$6,376",shawna@admiralexpress.com;donna@admiralexpress.com
ADMOTIONS DIRECT,OK,$0,$308,$0,$0,$308,larryg@admotions.com
ADVERTISING ANYTHING,OK,"$2,557",$0,$0,$0,$0,mwinfrey@advertisinganything.com; jayme@advertisinganything.com
ADVERTISING SPECIALTIES,OK,$381,$0,$0,$0,$0,KJERSTIE@ADSPECUSA.COM
ALLEGRA TULSA,OK,$0,$152,$0,$0,$152,tsolomon@allegratulsa.com
ANYTHING GOES,OK,$0,$0,$0,$0,$0,AGOES@TELEPATH.COM
A-PROMOTION & APPAREL,OK,$408,$0,$0,$0,$0,a-promotion@cox.net
ARCADIA PRINTING OF TULSA,OK,$0,"$1,280",$0,$0,"$1,280",ACCOUNTING@ARCADIAPRINTING.COM
ARTISTIC APPAREL,OK,$389,$0,$0,$0,$0,artisticapparel@sbcglobal.net
AWARDS ETC,OK,$0,$0,$0,$0,$0,
BAILEY PROMOTION AND MARKETING,OK,$315,$0,$0,$0,$0,brad@baileypromo.com
BALLISTIC BRANDING,OK,$0,"$1,299",$0,$0,"$1,299",randy@ballisticbranding.com
"BEAR'S WEAR, INC",OK,$0,$0,$0,$0,$0, bearswear@bwionline.com
BODY BILLBOARDS,OK,$0,$0,$0,$0,$0,BODYBILLBOARDS@SBCGLOBAL.NET
BRAND INK,OK,$143,$0,$143,$0,$0,bbosu401@gmail.com
BROOKSIDE SPECIALTIES,OK,$0,$100,$0,$0,$100,positivepins1@yahoo.com
BT PRINTING &PROMOTIONAL ITEMS,OK,$0,$0,$0,$0,$0,BTPROMO@COX.NET
"BUSINESS MEDICAL SYSTEMS, INC",OK,$0,$137,$0,$0,$137,ap@bmsiweb.com
C & R PRINT SHOP,OK,$195,$0,$0,$0,$0,teresa@candrprintshop.com
CENTURY CUSTOMS,OK,"$3,862","$4,322",$0,$0,"$4,322",cscarberry@centurymartialarts.com
"CHEAPER T'S, INC",OK,$28,$0,$0,$0,$0,csr@cheaperts.com
CHEROKEE DATA SOLUTIONS,OK,$320,$25,$0,$0,$25,ACCOUNTSPAYABLE@OKCDS.COM
CIMARRON SPECIALTIES,OK,$0,$281,$0,$0,$281,CIMSPEC@COXINET.NET
COMTECH,OK,$408,$0,$0,$0,$0,dmcclure@accesscomtech.com
CORPORATE GOLF AND GIFT,OK,$0,$0,$0,$0,$0,LEDMISON@COXINET.NET
CORPORATE GOLF& GIFT,OK,$475,"$1,186",$0,$0,"$1,186",LEDMISON@COXINET.NET
CORPORATE PROMOTIONS INC.,OK,$188,$240,$0,$0,$240,melissat@letteringexpressok.com
CROSSTHREAD DESIGN & PROMOTION,OK,$405,$433,$0,$0,$433,CROSSTHREADDESIGN@HOTMAIL.COM
CUNNINGHAM GRAPHICS INC.,OK,$435,$0,$0,$0,$0,vgraphx@fullnet.net
CUSTOM IMAGES & PROMOTIONS,OK,"$1,565",$0,$0,$0,$0,thenry@webzone.net
CUSTOM IMPRESSIONS,OK,$0,$0,$0,$0,$0,
DELTA PROMOTIONS TEAM,OK,$0,"$1,410",$0,$0,"$1,410",
DIMENSIONS SPECIALIST INC,OK,"$1,095",$187,$0,$0,$187,printing@dsprinting.com; desiree@dsprinting.com
DPS PRINTING SERVICES INC,OK,$0,$0,$0,$0,$0,marina@dpsprinting.com
ESKIMO JOE'S,OK,$568,"$3,847",$0,$470,"$3,847",ap@ejppg.com; amberf@ejppg.com
"EXCITE PROMOS, INC.",OK,$874,$378,$151,$0,$378,john@excitepromos.com
GOLD STAR EMBROIDERY SCREEN,OK,$0,$0,$0,$0,$0,brenda@goldstarok.com
"GORFAM MARKETING, INC",OK,"$1,720","$1,332",$0,$127,"$1,332",GWEN@GORFAM.COM
GORILLA MEDIA GROUP,OK,$249,$0,$0,$0,$0,gorillamediaokc@gmail.com
