 Number , Customer Name , Clsd , Rep , PL , Group , Jan-Dec 2014 , Jan-Dec 2013 , Variance ,% Chng
 2L452DT , 2 LOGO ,, 132-Lori Eaton , 2 , Promotional ," $4,322.27 "," $2,813.11 "," $1,509.16 ",53.6%
 3C783PT , 3RD COAST CREATIONS ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 AD787AT , AD CLARITY LLC ,, 132-Lori Eaton , 1 , Promotional ," $1,020.88 ", $-   ," $1,020.88 ",100.0%
 AI750CT , Ad Image Creative Promotions ,, 132-Lori Eaton , 1 , Promotional , $-   , $13.95 , $(13.95),-100.0%
 AV793BT , AD VENTURE MARKETING ,, 132-Lori Eaton , 1 , Promotional ," $2,626.66 "," $3,953.30 "," $(1,326.64)",-33.6%
 AG794LT , ADVANCED GRAPHIX ,, 132-Lori Eaton , 1 , Promotional ," $4,870.37 ", $810.83 ," $4,059.54 ",500.7%
 AP763WT , ADVENTURE PROMOTIONAL PRODUCTS ,, 132-Lori Eaton , 2 , Promotional , $-   , $181.31 , $(181.31),-100.0%
 AA741TO , ADVERTISING ANYTHING INC ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 AS741TO , ADVERTISING SPECIALTIES USA LLC ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 AJ787AT , AJL ADVERTISING SPECIALTIES ,, 132-Lori Eaton , 1 , Promotional ," $9,966.58 "," $3,862.21 "," $6,104.37 ",158.1%
 AS799ET , AMERICAN SEWING & EMBROIDERY ,, 132-Lori Eaton , 1 , Decorator , $-   , $204.81 , $(204.81),-100.0%
 AS778CS , AND SEW ON ,, 132-Lori Eaton , 1 , Promotional ," $2,440.76 ", $161.36 ," $2,279.40 ",1412.6%
 AD750PT , Antonia Dei Rossi Corporate Ware ,, 132-Lori Eaton , 1 , Promotional , $614.13 , $853.22 , $(239.09),-28.0%
 CS761FT , APPLAUSE PROMOTIONAL PRODUCTS ,, 132-Lori Eaton , 1 , Decorator , $292.32 , $-   , $292.32 ,100.0%
 AR750PT , ARTISTIC TEXTILE GRAPHICS ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 AA750PT , AUSTIN AD GROUP INC ,, 132-Lori Eaton , 1 , Promotional , $-   , $943.46 , $(943.46),-100.0%
 AP787AT , AUSTIN PREMIUMS ,, 132-Lori Eaton , 1 , Promotional ," $1,922.01 "," $2,675.98 ", $(753.97),-28.2%
 AX767WT , AXIOM ADVERTISING ,, 132-Lori Eaton , 1 , Promotional ," $4,437.05 ", $-   ," $4,437.05 ",100.0%
 BS730NO , BAMBOA SPORTSWEAR ,, 132-Lori Eaton , 1 , Promotional ," $8,594.15 "," $3,462.49 "," $5,131.66 ",148.2%
 BI730EO , BIG BEAR PROMOTIONALS ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 BM750CT , BLUE MOON SPORTSWEAR INC ,, 132-Lori Eaton , 1 , Decorator , $113.02 , $20.32 , $92.70 ,456.2%
 BL752DT , BOB LILLYS PROFESSIONAL PROMOTIONS ,, 132-Lori Eaton , 1 , Promotional , $-   , $222.54 , $(222.54),-100.0%
 BN787AT , BOUNDLESS NETWORK ,, 132-Lori Eaton , 3 , Promotional ," $16,440.67 "," $12,415.81 "," $4,024.86 ",32.4%
 BB787AT , BRAND BUILDERS COMPANY ,, 132-Lori Eaton , 3 , Promotional ," $1,650.57 "," $1,900.87 ", $(250.30),-13.2%
 BU706HT , BULLSEYE PROMOTIONS ,, 132-Lori Eaton , 1 , Promotional , $247.06 , $-   , $247.06 ,100.0%
 CD764DT , CALLAWAY DESIGN ,, 132-Lori Eaton , 1 , Promotional , $796.53 , $-   , $796.53 ,100.0%
 CA012SO , CAUSLEY PRODUCTIONS ,, 132-Lori Eaton , 1 , Decorator , $-   , $-   , $-   ,0.0%
 CI750PT , CENTRAL INDUSTRIES LLC ,, 132-Lori Eaton , 1 , Promotional , $-   , $116.38 , $(116.38),-100.0%
 CG797MT , CENTURY GRAPHICS & SIGN ,, 132-Lori Eaton , 2 , Promotional ," $19,211.34 "," $6,364.46 "," $12,846.88 ",201.9%
 CE750RT , CHECKMATE EMBROIDERY LLC ,, 132-Lori Eaton , 1 , Decorator , $619.47 , $-   , $619.47 ,100.0%
 CS740GO , CLARK SIGNS INC ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 CG731OO , CORPORATE GOLF & GIFT ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 CL773HT , COULDNT LOOK BETTER LLC ,, 132-Lori Eaton , 1 , Promotional , $902.87 , $383.27 , $519.60 ,135.6%
 CP760ST , COVEYS PROMOTIONS INC , Y , 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 CR748SO , CRAFTERS SHOWPLACE ,, 132-Lori Eaton , 2 , Promotional ," $5,696.28 ", $884.75 ," $4,811.53 ",543.8%
 LO750PT , CUSTOM FITNESS APPAREL LLC ,, 132-Lori Eaton , 1 , Promotional , $-   , $34.21 , $(34.21),-100.0%
 MC761FT , CUSTOM SOLUTIONS ,, 132-Lori Eaton , 1 , Promotional , $-   , $139.65 , $(139.65),-100.0%
 CE797OT , CUTTING EDGE ADVERTISING LLC ,, 132-Lori Eaton , 1 , Promotional , $879.00 , $610.25 , $268.75 ,44.0%
 DA799ET , DAVIDS APPAREL ,, 132-Lori Eaton , 1 , Promotional ," $1,175.49 "," $2,772.21 "," $(1,596.72)",-57.6%
 DA752DT , DAVIS & STANTON INC ,, 132-Lori Eaton , 1 , Promotional , $-   , $21.45 , $(21.45),-100.0%
 DE797MT , DEBBIE BERGEN PROMOTIONAL PROD ,, 132-Lori Eaton , 3 , Promotional ," $9,042.60 "," $5,965.62 "," $3,076.98 ",51.6%
 DD735LO , DEBBIE DO EMBROIDERY ,, 132-Lori Eaton , 1 , Decorator , $232.71 , $-   , $232.71 ,100.0%
 DG757TT , DESIGNERS GRAPHICS ,, 132-Lori Eaton , 1 , Promotional , $218.04 , $-   , $218.04 ,100.0%
 DM750PT , DISTINCTIVE MARKETING IDEAS INC ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 NA750RT , DLM BRANDED PROMOTIONS LLC ,, 132-Lori Eaton , 1 , Promotional , $-   , $355.27 , $(355.27),-100.0%
 DO758BT , DOTS DESIGNS ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 DH750MT , DOUBLE H ENTERPRISES INC ,, 132-Lori Eaton , 1 , Promotional , $-   , $85.56 , $(85.56),-100.0%
 SP012KT , DYNAMIC DESIGNS ,, 132-Lori Eaton , 1 , Promotional ," $3,069.60 "," $1,794.54 "," $1,275.06 ",71.1%
 EJ740SO , ESKIMO JOES PROMOTIONAL PRODUCTS GROUP ,, 132-Lori Eaton , 3 , Promotional ," $1,322.05 "," $1,292.82 ", $29.23 ,2.3%
 FD750MT , FINE DESIGNS IMPRINTED SPORTSWEAR INC ,, 132-Lori Eaton , 1 , Decorator , $-   , $-   , $-   ,0.0%
 FI787AT , FINELINE SPORTSWEAR INC ,, 132-Lori Eaton , 2 , Decorator ," $2,654.04 "," $4,034.96 "," $(1,380.92)",-34.2%
 FW761FT , FORT WORTH PROMO PRODUCTS ,, 132-Lori Eaton , 1 , Promotional , $402.68 , $422.28 , $(19.60),-4.6%
