Sales#,Cus.ID,Cus.Name,Dept#,2014,2013,Amt.Chg,Chg.Per%
339,356000,HALO BRANDED SOLUTIONS,,196972.45,5718.52,191253.93,3344.465526
339,143717,"BOUNDLESS NETWORK, INC.",,134502.34,101025.03,33477.31,33.13763926
339,141964,ACTIVATE PROMOTIONS + MARKETIG,,133026.5,68100,64926.5,95.33994126
339,109480,AIA CORPORATION,,59783.95,26734.15,33049.8,123.6239043
339,231137,INMAN PROMOTIONAL TEAM,,44033.5,3378.84,40654.66,1203.213529
339,333647,WORKFLOWONE,,29158.5,54410.54,-25252.04,-46.4101992
339,299924,PROFESSIONAL SPEC. & INCENTIVE,,26901.45,16807,10094.45,60.06098649
339,293570,PAC (PERFORMANCE AWARD CTR INC),,21002.85,12173.49,8829.36,72.52940611
339,232286,THE J PAUL COMPANY,,19706.03,2857,16849.03,589.7455373
339,288693,PC PROMOTIONS,,16522.35,15445.3,1077.05,6.973318744
339,145039,BRAND IQ,,15166.3,29038.05,-13871.75,-47.77094191
339,221600,HARVEY-DACO,,15062.71,41308.44,-26245.73,-63.53599893
339,149870,"BUFFALO SPECIALTIES, INC.",,12405.6,21973.6,-9568,-43.54316088
339,254138,BOB LILLY PROFESSIONAL PROMO.,,11946.8,13204.47,-1257.67,-9.524577661
339,108993,ADVANCED GRAPHIX,,11759.49,671,11088.49,1652.532042
339,318070,TJ SANDERS GROUP,,10962.2,5658.5,5303.7,93.72978705
339,194088,THE FINER THINGS,,10095.16,2369.5,7725.66,326.0460013
339,332152,SPECTRUM PRINTING & PROMOTIONS,,9817.46,0,9817.46,0
339,230085,FONTIS BUSINESS SOLUTIONS,,9764.76,4641.05,5123.71,110.3998018
339,355990,WAYNE ENTERPRISES,,9119,1835,7284,396.9482289
339,137616,BD & A,,8174.64,7744.25,430.39,5.557542693
339,129449,"B M P PARTNERS, INC.",,7945.96,5909.4,2036.56,34.46305886
339,299746,PRO MO STUF,,7200.26,0,7200.26,0
339,137251,THE DONNA  R. BENDER,,7191.1,435.8,6755.3,1550.091785
339,226065,HOLDEN CUSTOM PRODUCTS,,6942.64,2027.08,4915.56,242.4946228
339,919001,P KELLY & ASSOCIATES,,6683.5,0,6683.5,0
339,306752,"PROSERV BUSINESS PRODUCTS, LLC",,6144.5,0,6144.5,0
339,185798,ECOMARKETING SOLUTIONS,,6050.88,989,5061.88,511.817998
339,132710,BARKLEY HOUSE,,5861.32,1858.7,4002.62,215.3451337
339,319940,"SCARBOROUGH SPECIALTIES, INC.",,5460.6,9430.88,-3970.28,-42.09872249
339,289752,PAGE INTERNATIONAL COMMUNICATIONS,,5420.4,4727.7,692.7,14.65194492
339,357766,ANN WERME STATIONERS,,5291,0,5291,0
339,279600,JACK NADEL INTERNATIONAL,,5065,10536.2,-5471.2,-51.92763994
339,6001251,"BLUE MOON SPORTSWEAR, INC.",,4613.3,0,4613.3,0
339,6001186,PERSONALIZED PROMOTIONS,,4573,0,4573,0
339,121567,LOGOS@WORK,,4099,1682.2,2416.8,143.6690049
339,240430,KELLEY ADVERTISING CO,,4007.3,13921.43,-9914.13,-71.21488237
339,202900,GEIGER BROS.,,3898.08,0,3898.08,0
339,346070,TRADEMARKS PROMOTIONAL PRODUCT,,3719.18,865.24,2853.94,329.8437428
339,268990,MEYER DUNLAP LLC.,,3353,177.5,3175.5,1789.014085
339,229643,IDEAS 'N MOTION,,3065.57,4129.91,-1064.34,-25.77150591
339,309656,ROBYN PROMOTIONS,,3038.2,45578.2,-42540,-93.33409393
339,275276,MOISANT & COMPANY INCORPORATED,,2912.6,0,2912.6,0
339,141717,BLUEBERRY INK,,2764,0,2764,0
339,341078,TLC ADCENTIVES LLC,,2672,0,2672,0
339,288860,"P-F UNLIMITED, INC",,2614.5,2198.1,416.4,18.94363314
339,365874,ZIMMERLY & CO INC,,2370,615,1755,285.3658537
339,6001285,ADPOWER,,2253.54,0,2253.54,0
339,168918,CORPORATE INCENTIVES,,2165,0,2165,0
339,195043,FLAT RATE PRINTING & PROMOTIONS,,2018,0,2018,0
339,230062,IMAGE IS EVERYTHING,,1956.25,10835,-8878.75,-81.94508537
339,346428,TREND PROMOTIONAL MARKETING CO,,1935.25,6404.74,-4469.49,-69.7840974
339,228900,HOWELL & WINDHAM ADVERTISING,,1912.4,0,1912.4,0
339,170660,CREATIVE PARTNERS IN PROMOS,,1908,0,1908,0
339,334888,STAR PROMOTIONAL PRODUCTS,,1743,0,1743,0
339,102623,ACADEMY AWARDS,,1668.05,0,1668.05,0
339,300094,PROFORMA INC,,1607.5,10593.3,-8985.8,-84.82531411
