distributor,innovation,kanata,perry,richardson,tomax
2 LOGO,,,,4322.27,
2.3 GRAPHICS,2933.0,,,,
2B SIGNS & MORE,0.0,,,,
2LC GRAPHICS,0.0,,,,
2M BUSINESS PRODUCTS,-421.0,,,,
360 PRESS SOLUTIONS,0.0,,,,
3RD COAST CREATIONS,,,,0.0,
3dASAP PROMOTIONAL SOLUTIONS,0.0,,,,
413 STRENGTHGEAR,2192.0,,,,
4MZ INC,,,128.0,,
6/9/15,0.0,,,,
A & A CUSTOM DESIGNS,,,,0.0,
A & B ENGRAVING INC,,,8652.0,0.0,
A & K PRODUCT SPECIALTIES,462.0,,,,
A & N AWARDS AND PROMO,0.0,,,,
A GREAT IDEA,4045.0,,,1106.51,
A PLUS PROMOTIONS,,,554.0,,
A PREMIER BRAND,,,2683.0,,
A SILVER LINING,,,,369.65,
A TO Z SPEICALTIES,,,,0.0,
A TURTLE LOVES ME,271.0,,,,
A-1 EMBROIDERY & SCREEN PRINTI,0.0,,,,
A-1 EMBROIIDERY & SCREEN PRINTING,,,108.0,,
A-PROMOTION & APPAREL,408.0,,,,
A-Z EVENTS & PROMOTIONS,,,0.0,,
"A-Z GRAPHICS, LLC",0.0,,,,
"A.J. BART, INC.",9660.0,,,,
AA XPRESS UNLIMITED,366.0,,,,
AAA TROPHY AND ENGRAVING,164.0,,,,
AARON WEATHERLY,,,62.0,,
ABF PRINTING SERVICES,0.0,,,,
ABSOLUTE - ALL SPORTS,404.0,,,,
ABSOLUTE COLOR,176.0,,,,
ABSOLUTE UNIFORM CO INC,0.0,,,,
AC PRINTING,168.0,,,,
ACADEMY ADVG SPECS & AWARDS,2534.0,,,,
ACADEMY AWARDS,,,,,1668.05
ACCELERATED POWER MARKETING,0.0,,,,
ACCENT ENTERPRISES,646.0,,,,
ACCENT SCREEN PRINTING,0.0,,,1482.42,
ACCOLADES AWARDS & ENGRAVING,0.0,,,,
ACCU-PRINT,0.0,,,,
ACCUSOURCE SOLUTION(SAFEGUARD),0.0,,,,
ACF AWARDS & AD SPECIALTIES,329.0,,,,0.0
ACTION SPECIALTIES LLC,,,1756.0,,
ACTION TROPHIES & AWARDS,0.0,,,,
ACTIVATE PROMOTIONS + MARKETIG,,,,,133026.5
ACTIVATE PROMOTIONS AND MARKETING,,,18075.0,,
ACUGRAPHICS EMBROIDERY & MORE,0.0,,,,
ACUGRAPHICS EMBROIDERY & MORE INC,,,0.0,,
AD CLARITY,731.0,,,,
AD CLARITY LLC,,,8471.0,1020.88,
AD F/X,0.0,,,,
AD IMAGE,844.0,,0.0,,
AD PRO        TX,0.0,,,,
AD PRO SPECIALTIES     S.A.TX,172.0,,,,
AD RADIANCE,0.0,,,,
"AD SPECIALTIES & MORE, LTD",1333.0,,,,
AD VANTAGE SPECIALTIES,0.0,,,,
AD VENTURE MARKETING,,,,2626.66,
AD VENTURES IN TEXAS,0.0,,,,
AD-CENTIVES,1965.0,,,,
AD-CENTIVES BY LDHT,,,,251.72,
AD-EASE SPECIALTY ADVERTISING,1195.0,,,,
AD-IMAGE CREATIVE,,,0.0,,
AD-IMAGE CREATIVE PROMOTIONS,0.0,,,,
AD-ON PROMO,150.0,,,,
AD-WEAR & SPECIALTY OF TEXAS,2601.0,,,,
AD-WEAR & SPECIALTY OF TEXAS INC,,,,3393.55,
ADA TROPHY CASE,235.0,,,,
ADAIR PRINTING & PROMOTIONS,0.0,,,,
"ADCO ADVERTISING, INC.",309.0,,,,
ADDISON PROMOTIONS,0.0,,,,
ADERO PROMOTIONS INC,0.0,,,,
ADMARK,0.0,,,,
ADMIRAL EXPRESS OFFICE SUPPLY,6036.0,,,,
ADMOTIONS DIRECT,0.0,,,,
ADOBE SIGNS & T-SHIRTS,142.0,,,,
ADP-LLC,374.0,,,,
ADPOWER,1106.0,,,,2253.54
ADPRINT INTERNATIONAL INC.,,,,,1018.0
ADRIANS PROMOTIONS,0.0,,,,
ADS AND IMAGES,0.0,,,,
ADSMITH PROMOTIONS,0.0,,,,
"ADVANCED GRAPHIC PRODUCTS, INC",147.0,,,,
ADVANCED GRAPHIX,1322.0,,,4870.37,11759.49
ADVANCED MONOGRAMMING,0.0,,,,
ADVANCED PROMOTION,0.0,,,,
ADVANTAGE SALES PROMOTION CO.,407.0,,,,
ADVANTAGE SPECIALTIES,0.0,,,,
ADVANTAGE SPECIALTIES INC,,,,7839.76,
ADVENT,,,0.0,,
ADVENTURE PROMOTIONAL PRODUCTS,,,,0.0,
ADVENTURES             TX,1434.0,,,,
ADVENTURES LLC,0.0,,,,
ADVERTISING ANYTHING,2557.0,,,,
ADVERTISING ANYTHING INC,,,,0.0,
ADVERTISING CONCEPTS  TX,0.0,,,,
ADVERTISING SPECIALTIES,0.0,,,,
ADVERTISING SPECIALTIES & MORE,,,,,0.0
ADVERTISING SPECIALTIES USA LLC,,,1724.0,0.0,
ADVICE PROMOTIONS,669.0,,,,
ADWHITE PROMOTIONS,203.0,,,,
AIA CORPORATION,,,34611.0,,59783.95
AJL ADVERTISING SPECIALTIES,719.0,,,9966.58,
AKTIS ENTERPRISE INC,2627.0,,,,
ALADDIN SPECIALTY,175.0,,,,
ALAINAVISION INC,,,0.0,,
ALAMO CITY EMBROIDERY & SPECIALTEES,,,52.0,,
ALAMO CUSTOM ADVERTISING,0.0,,,,
ALEJO USA,0.0,,,,
ALEXANDER RESOURCE GROUP,396.0,,,,
ALL GOODS LLC,408.0,,,,
ALL IN ONE MARKETING,0.0,,,,
ALL IN ONE PRINTING,0.0,,,,
ALL PRINTING,0.0,,,,
ALL STAR CAPS,474.0,,,,
ALL-IN-PROMOTIONS,0.0,,,,
ALLEGRA PRINT & IMAGING,1616.0,,,,
ALLEGRA PRINT & IMAGINMG,876.0,,,,
ALLEGRA TULSA,0.0,,,,
ALLIED ADVERTISING,0.0,,44.0,1186.66,
ALLIED PRODUCTS,0.0,,,,
ALLISON'S,0.0,,,,
ALLMARK IMPRESSIONS,240.0,,,,810.3
ALLSTAR CORPORATE PROMOTIONS,,,,413.77,
ALPHAGRAPHICS,0.0,,,,
ALPHAGRAPHICS # 152,0.0,,,,
ALPHAGRAPHICS #391,434.0,,,,
ALPHAGRAPHICS 408,0.0,,,,
ALPHAGRAPHICS BRYAN/COLLEGE,152.0,,,,
ALPHAGRAPHICS-US741,0.0,,,,
ALREADY GEAR,208.0,,,,
AMAZING AWARDS INC.,0.0,,,,
AMAZING GRACE,0.0,,,,
AMBIT ENERGY/RENAISSANCE PROMO,0.0,,,,
